title,url,discounted_price,original_price
4 x Authentic Uwell Crown 5 FeCrAl UN2-2 Dual Meshed Coil 0.3ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-2-dual-meshed-coil-03ohm-p-20281.html,$11.01,$19.35 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Blue,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-blue-p-16658.html,$9.70,$38.16 
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Gunmetal,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-gunmetal-p-14041.html,$64.32,$95.08 
Authentic Wotofo Profile RDTA  - Stainless Steel,https://www.cigabuy.com/authentic-wotofo-profile-rdta-stainless-steel-p-19386.html,$24.67,$43.60 
Authentic VOOPOO DRAG 3 177W MOD - Marsala,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-marsala-p-20568.html,$33.94,$38.46 
Authentic Geekvape Aegis X 200W TC Box Mod - Stealth Black,https://www.cigabuy.com/authentic-geekvape-aegis-x-200w-tc-box-mod-stealth-black-p-16062.html,$51.16,$80.48 
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Black,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-black-p-15776.html,$18.91,$33.03 
5 x Authentic Wotofo nexMESH Clapton Ni80 + A1 0.2ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-ni80-a1-02ohm-coil-p-19390.html,$4.34,$10.75 
5 x Authentic VOOPOO PnP-TM2 Coil 0.8ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-tm2-coil-08ohm-p-19843.html,$11.01,$11.74 
Authentic VOOPOO DRAG X Plus MOD - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-smoky-grey-p-20575.html,$28.05,$31.79 
Authentic VOOPOO DRAG X Plus MOD - Sandy Brown,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-sandy-brown-p-20576.html,$28.05,$31.79 
Authentic Vaporesso Luxe II 220W TC Mod - Black,https://www.cigabuy.com/authentic-vaporesso-luxe-ii-220w-tc-mod-black-p-19908.html,$48.28,$77.37 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Black,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-black-p-20604.html,$26.02,$29.14 
Authentic VOOPOO DRAG X Plus MOD - Prussian Blue,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-prussian-blue-p-20577.html,$27.69,$31.38 
Authentic Wotofo Profile RDTA  - Black,https://www.cigabuy.com/authentic-wotofo-profile-rdta-black-p-19384.html,$25.89,$43.16 
Authentic GeekVape Zeus X RTA 4.5ml 25MM - Black,https://www.cigabuy.com/authentic-geekvape-zeus-x-rta-45ml-25mm-black-p-14054.html,$24.57,$36.97 
5 x Authentic VOOPOO PnP-TR1 Coil 1.2ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-tr1-coil-12ohm-p-19842.html,$10.75,$11.75 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-blue-p-20265.html,$23.37,$35.65 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Gunmetal,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-gunmetal-p-20606.html,$26.97,$29.14 
Authentic Vandyvape GAUR-21 Mod - Carbon Fiber Black,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-carbon-fiber-black-p-20363.html,$37.97,$60.03 
Authentic Uwell Caliburn G POD kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-black-p-19935.html,$25.04,$32.73 
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit - Stainless Steel,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-stainless-steel-p-19979.html,$41.57,$76.38 
5 x Authentic Wotofo nexMESH Clapton S A1+Ni80 0.15ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-s-a1ni80-015ohm-coil-p-20471.html,$4.02,$10.13 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Red,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-red-p-16659.html,$9.70,$38.16 
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Black,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-black-p-14040.html,$69.58,$95.08 
10 x Authentic OFRF nexMESH Coil 0.13ohm,https://www.cigabuy.com/10-x-authentic-ofrf-nexmesh-coil-013ohm-p-13759.html,$2.81,$5.43 
Authentic Wotofo Profile M RTA - SS,https://www.cigabuy.com/authentic-wotofo-profile-rta-ss-p-20466.html,$22.97,$38.62 
5 x Authentic VOOPOO PnP-VM3 Single Mesh Coil 0.45ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-vm3-single-mesh-coil-045ohm-p-18288.html,$12.35,$13.83 
Authentic Wotofo SMRT Pod Kit - Black Blue,https://www.cigabuy.com/authentic-wotofo-smrt-pod-kit-black-blue-p-20630.html,$21.03,$40.14 
Authentic VOOPOO PnP Pod Tank 4.5ml - Stainless Steel,https://www.cigabuy.com/authentic-voopoo-pnp-pod-tank-45ml-stainless-steel-p-20117.html,$7.99,$9.05 
Authentic VOOPOO DRAG 3 177W Kit - Sandy Brown,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-kit-sandy-brown-p-20563.html,$45.53,$49.78 
Authentic VOOPOO DRAG X Plus 100W Pod Kit - Marsala,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-100w-pod-kit-marsala-p-20571.html,$39.17,$42.83 
4 x Authentic Uwell Aeglos UN2 meshed-H coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-aeglos-un2-meshed-h-coil-023ohm-p-20293.html,$8.97,$14.25 
Authentic Uwell Caliburn Pod System 520mAh Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-pod-system-520mah-kit-black-p-14097.html,$14.15,$32.26 
Authentic Uwell Whirl S Pen Kit - Blue,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-blue-p-20635.html,$22.80,$39.07 
5 x Authentic Geekvape P Series Coil KA1 0.4ohm,https://www.cigabuy.com/5-x-authentic-geekvape-series-coil-ka1-04ohm-p-20333.html,$11.73,$16.38 
Authentic Uwell Caliburn KOKO Prime Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-black-p-20246.html,$22.16,$34.30 
Authentic Vandyvape Jackaroo Pod Kit - Carbon Fiber Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-carbon-fiber-black-p-20637.html,$25.37,$38.17 
Authentic Digiflavor Z1 SBS 80W Kit with Siren 3 GTA - Silver Gray Scallop Shell,https://www.cigabuy.com/authentic-digiflavor-z1-sbs-80w-kit-with-siren-3-gta-silver-gray-scallop-shell-p-20551.html,$58.01,$59.28 
Authentic Uwell Aeglos Pod Kit - Red,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-red-p-20288.html,$23.94,$40.33 
Authentic Eleaf iStick Power 2 80W MOD - Blue,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-blue-p-20758.html,$30.97,$33.15 
3 x Authentic Wotofo H11 SINGLE CONICAL NEXMESH COIL 0.20ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h11-single-conical-nexmesh-coil-020ohm-p-19870.html,$6.94,$8.84 
10 x Vandy Vape Ni80 Triple Fused Clapton Coil 28ga*3+38ga 0.41ohm,https://www.cigabuy.com/10-x-vandy-vape-ni80-triple-fused-clapton-coil-28ga338ga-041ohm-p-16390.html,$2.89,$5.12 
Authentic Steam Crave Titan PWM V1.5 Mod - Black,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-black-p-19519.html,$50.02,$83.61 
Authentic Uwell Caliburn KOKO Prime Kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-grey-p-20248.html,$22.16,$34.30 
Authentic VOOPOO Argus GT 160W TC Box Mod - Carbon fiber,https://www.cigabuy.com/authentic-voopoo-argus-gt-160w-tc-box-mod-carbon-fiber-p-19971.html,$35.40,$38.71 
10pcs Authentic OFRF nexMESH Coil 0.15ohm,https://www.cigabuy.com/10pcs-authentic-ofrf-nexmesh-coil-015ohm-p-15479.html,$4.65,$5.05 
Authentic Geekvape Zeus Nano Tank - Black,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-black-p-20001.html,$15.05,$27.27 
Authentic Freemax Maxus 200W  Kit - Blue - Yellow,https://www.cigabuy.com/authentic-freemax-maxus-200w-kit-blue-yellow-p-19159.html,$51.45,$81.84 
Authentic Eleaf iStick Power 2 80W MOD - Light Brown,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-light-brown-p-20760.html,$31.36,$33.15 
Authentic Wotofo Profile M RTA - Blue Matel,https://www.cigabuy.com/authentic-wotofo-profile-rta-blue-matel-p-20467.html,$22.97,$38.62 
1 x Authentic SMOK TFV18 RBA Coil,https://www.cigabuy.com/1-x-authentic-smok-tfv18-rba-coil-p-20392.html,$8.44,$9.67 
Authentic Uwell CROWN 5 V Box Kit  - Red,https://www.cigabuy.com/authentic-uwell-crown-5-v-box-kit-red-p-21059.html,,
Authentic Joyetech Riftcore Duo RTA 3.5ML - Gold,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-gold-p-12625.html,$6.06,$18.77 
Authentic VOOPOO DRAG X Plus 100W Pod Kit - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-100w-pod-kit-smoky-grey-p-20574.html,$37.44,$42.44 
Authentic Orchid IQS 950mAh Pod System Kit - Drip,https://www.cigabuy.com/authentic-orchid-iqs-950mah-pod-system-kit-drip-p-14797.html,$11.83,$41.93 
Authentic ThunderHead Creations THC Tauren MAX RDA  - Brass Black,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-max-rda-brass-black-p-21074.html,,
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-gunmetal-p-19144.html,$54.71,$90.57 
10 x Authentic Wotofo nexMESH TURBO A1 Wire 0.13ohm,https://www.cigabuy.com/10-x-authentic-wotofo-nexmesh-turbo-a1-wire-013ohm-p-16533.html,$3.43,$4.66 
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-black-p-21091.html,,
Authentic Steam Crave Aromamizer Supreme V3 RDTA basic kit 7ml 25ml - Blue,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-basic-kit-7ml-25ml-blue-p-19986.html,$33.18,$57.83 
Authentic Digiflavor Drop RDA V1.5 - SS,https://www.cigabuy.com/authentic-digiflavor-drop-rda-v15-ss-p-20756.html,,
Authentic IJOY Captain Link Kit - Green,https://www.cigabuy.com/authentic-ijoy-captain-link-kit-green-p-20706.html,$35.85,$54.24 
Authentic Geekvape Aegis Max 100W TC Box Mod - Red Phoenix,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-box-mod-red-phoenix-p-18880.html,$34.21,$53.93 
Authentic VOOPOO DRAG 3 177W Kit - Classic,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-kit-classic-p-20560.html,$43.79,$49.63 
Authentic THC Artemis RDTA - Black,https://www.cigabuy.com/authentic-thc-artemis-rdta-black-p-20221.html,$31.15,$68.62 
Authentic Uwell Tripod PCC Pod Kit 370mAh + 1000mAh - Black&Gold,https://www.cigabuy.com/authentic-uwell-tripod-pcc-pod-kit-370mah-1000mah-blackgold-p-20357.html,$24.24,$38.34 
Authentic Uwell Whirl S Pen Kit - Dark gray,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-dark-gray-p-20634.html,$24.22,$39.07 
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-black-p-21087.html,,
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Matte Black,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-matte-black-p-19966.html,$23.64,$42.55 
5 x Authentic Wotofo D11 Single Net Mesh Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-wotofo-d11-single-net-mesh-coil-02ohm-p-20142.html,$8.17,$20.80 
Authentic Geekvape Wenax Stylus Pod Starter Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-classic-black-p-19295.html,$14.03,$24.00 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Polished,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-polished-p-20607.html,$24.98,$26.62 
5pcs Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Purple,https://www.cigabuy.com/5pcs-authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-purple-p-21144.html,$12.13,$18.15 
60pcs Demon Killer Slacker Cotton for RTA Building,https://www.cigabuy.com/60pcs-demon-killer-slacker-cotton-for-rta-building-p-13049.html,$2.37,$4.23 
Authentic Uwell Caliburn KOKO Prime Kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-blue-p-20247.html,$23.26,$34.30 
Authentic VOOPOO DRAG X Plus 100W Pod Kit - Classic,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-100w-pod-kit-classic-p-20570.html,$39.12,$42.77 
Authentic Cthulhu Mjolnir RDA 24MM - Black,https://www.cigabuy.com/authentic-cthulhu-mjolnir-rda-24mm-black-p-13676.html,$22.37,$31.93 
Authentic Steam Crave Aromamizer Titan V2 RDTA - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-titan-v2-rdta-black-p-20602.html,$54.75,$80.37 
Authentic VOOPOO V.SUIT Pod System Kit - Blue,https://www.cigabuy.com/authentic-voopoo-vsuit-pod-system-kit-blue-p-19835.html,$20.90,$24.64 
5 x Authentic FreeMax OX DVC Coil 1.0ohm,https://www.cigabuy.com/5-x-authentic-freemax-ox-dvc-coil-10ohm-p-20769.html,,
Authentic Uwell Crown 3 Sub-Ohm Tank TPD Edition - Silver,https://www.cigabuy.com/authentic-uwell-crown-3-sub-ohm-tank-tpd-edition-silver-p-10232.html,$6.06,$33.04 
Authentic IJOY Captain Link Mod - Blue,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-blue-p-20712.html,$25.62,$37.16 
Authentic VOOPOO DRAG Max 177W Kit with PNP Tank - Retro,https://www.cigabuy.com/authentic-voopoo-drag-max-177w-kit-with-pnp-tank-retro-p-20056.html,$40.60,$44.39 
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Kit - SS,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-kit-ss-p-19143.html,$51.06,$87.29 
Authentic Thunderhead Creations THC Tauren MTL RTA 2ml - Stainless Steel,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-mtl-rta-2ml-stainless-steel-p-20497.html,$25.37,$40.61 
10pcs Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/10pcs-authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-21142.html,$84.96,$97.10 
Authentic Uwell Caliburn G POD kit - Green,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-green-p-19939.html,$19.65,$32.73 
Authentic Wotofo MANIK Pod Mod Kit - Prism Gunmetal,https://www.cigabuy.com/authentic-wotofo-manik-pod-mod-kit-prism-gunmetal-p-20138.html,$20.47,$41.66 
Authentic Uwell Valyrian II PRO Tank - Black & Silver,https://www.cigabuy.com/authentic-uwell-valyrian-ii-pro-tank-black-silver-p-20598.html,$28.40,$49.92 
Authentic Digiflavor Drop RDA V1.5 - Gunmetal,https://www.cigabuy.com/authentic-digiflavor-drop-rda-v15-gunmetal-p-20755.html,,
Authentic Dovpo Odin DNA250C 200W Box Mod - Brushed Gunmetal,https://www.cigabuy.com/authentic-dovpo-odin-dna250c-200w-box-mod-brushed-gunmetal-p-18896.html,$141.18,$198.14 
Authentic FreeMax Onnix 20W Kit - Black,https://www.cigabuy.com/authentic-freemax-onnix-20w-kit-black-p-20765.html,,
5 x Authentic Geekvape P Series Coil KA1 0.2ohm,https://www.cigabuy.com/5-x-authentic-geekvape-series-coil-ka1-02ohm-p-20332.html,$1.21,$16.38 
Authentic Wotofo The Troll X RTA - Blue,https://www.cigabuy.com/authentic-wotofo-the-troll-x-rta-blue-p-20655.html,,
Authentic SMOK Rigel Mini 80W MOD - Black,https://www.cigabuy.com/authentic-smok-rigel-mini-80w-mod-black-p-20588.html,$26.37,$28.13 
Authentic VOOPOO DRAG 3 177W Kit - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-kit-smoky-grey-p-20564.html,$42.86,$48.57 
10 x SHOELACE Vape Cotton for RBA Atomizer DIY Building,https://www.cigabuy.com/10-x-shoelace-vape-cotton-for-rba-atomizer-diy-building-p-14573.html,$1.49,$3.26 
Authentic Dovpo Odin 100 Box Mod - Red,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-red-p-19699.html,$62.30,$81.84 
Authentic Vandyvape REQUIEM BF Kit - Craftsman(silver),https://www.cigabuy.com/authentic-vandyvape-requiem-bf-kit-craftsmansilver-p-20751.html,,
Authentic Vandyvape Jackaroo Pod Kit - Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-black-p-20641.html,$24.37,$36.16 
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-gunmetal-p-19968.html,$23.64,$42.55 
Authentic Wotofo Vape Tool Kit for DIY Building,https://www.cigabuy.com/authentic-wotofo-vape-tool-kit-for-diy-building-p-14635.html,$18.42,$21.50 
10 x Authentic Wotofo Dual Core Fused Clapton Prebuilt Wire 0.28ohm,https://www.cigabuy.com/10-x-authentic-wotofo-dual-core-fused-clapton-prebuilt-wire-028ohm-p-14309.html,$2.57,$4.11 
Authentic Geekvape Aegis Boost Pro Kit - Classic Silver,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-classic-silver-p-20326.html,$30.17,$49.15 
X96Q Android 10 TV Box Quad Core Allwinner H313 4K 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-10-tv-box-quad-core-allwinner-h313-4k-2gb-ram-16gb-rom-p-18997.html,$21.84,$37.79 
5 x Authentic Wotofo D13 A1 nexMESH Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-wotofo-d13-a1-nexmesh-coil-02ohm-p-20141.html,$8.17,$10.13 
Authentic ThunderHead Creations THC Tauren MAX RDA  - Brass,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-max-rda-brass-p-21072.html,,
Authentic Vandyvape Jackaroo Dual 188W Box Mod - Stripy Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-dual-188w-box-mod-stripy-black-p-20243.html,$52.89,$71.68 
Authentic Geekvape Aegis Hero Pod Mod Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-hero-pod-mod-kit-gunmetal-p-19994.html,$24.88,$41.46 
Authentic SMOK TFV18 Sub-Ohm Tank - Blue,https://www.cigabuy.com/authentic-smok-tfv18-sub-ohm-tank-blue-p-20387.html,$23.21,$24.42 
Authentic SMOK ARCFOX 230W KIT - Prism Rainbow,https://www.cigabuy.com/authentic-smok-arcfox-230w-kit-prism-rainbow-p-20738.html,$51.22,$55.26 
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - Gunmeta,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-gunmeta-p-21089.html,,
Authentic VOOPOO DRAG Max 177W Kit with PNP Tank - Classic,https://www.cigabuy.com/authentic-voopoo-drag-max-177w-kit-with-pnp-tank-classic-p-20053.html,$40.64,$44.43 
Authentic VOOPOO V.SUIT Pod System Kit - White,https://www.cigabuy.com/authentic-voopoo-vsuit-pod-system-kit-white-p-19837.html,$23.42,$25.61 
Authentic VOOPOO Vinci Pod Kit - Dazzling Line,https://www.cigabuy.com/authentic-voopoo-vinci-pod-kit-dazzling-line-p-20721.html,$19.13,$20.92 
Authentic Geekvape Aegis Boost Pro Kit - Almighty Blue,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-almighty-blue-p-20329.html,$30.45,$49.15 
Authentic Timesvape Dreamer V1.5 Mech Mod - SS Brush,https://www.cigabuy.com/authentic-timesvape-dreamer-v15-mech-mod-ss-brush-p-20482.html,$38.66,$40.20 
Authentic Wotofo SMRT Pod Kit - Black,https://www.cigabuy.com/authentic-wotofo-smrt-pod-kit-black-p-20629.html,$21.03,$40.14 
Authentic Dovpo Odin 100 Box Mod - Matte Black,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-matte-black-p-19698.html,$51.49,$81.84 
Authentic VOOPOO Argus GT 160W TC Box Mod - Vintage Grey,https://www.cigabuy.com/authentic-voopoo-argus-gt-160w-tc-box-mod-vintage-grey-p-19974.html,$35.13,$37.47 
5 x Authentic FreeMax OX Mesh Coil 0.5ohm,https://www.cigabuy.com/5-x-authentic-freemax-ox-mesh-coil-05ohm-p-20770.html,,
Authentic Steam Crave Aromamizer Supreme V3 RDTA basic kit 7ml - Stainless Steel,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-basic-kit-7ml-stainless-steel-p-19983.html,$28.94,$54.55 
Authentic Oumier Wasp Nano S Dual-Coil BF RDA 25mm - Black,https://www.cigabuy.com/authentic-oumier-wasp-nano-s-dual-coil-bf-rda-25mm-black-p-20097.html,$14.54,$20.99 
Authentic Dovpo Riva DNA250C Box Mod - Gunmetal Vintage Brown,https://www.cigabuy.com/authentic-dovpo-riva-dna250c-box-mod-gunmetal-vintage-brown-p-21054.html,$112.18,$150.71 
Authentic Geekvape Obelisk Sub-Ohm Tank  - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-ss-p-21080.html,,
Authentic Thunderhead Creations THC Tauren MTL RTA 2ml - Full Black,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-mtl-rta-2ml-full-black-p-20499.html,$26.97,$42.11 
5 x Authentic Vaporesso GTX 0.6ohm Mesh Coil,https://www.cigabuy.com/5-x-authentic-vaporesso-gtx-06ohm-mesh-coil-p-20261.html,$8.07,$9.14 
Authentic Dovpo College DNA60 60W TC MOD - Silver,https://www.cigabuy.com/authentic-dovpo-college-dna60-60w-tc-mod-silver-p-20160.html,$100.74,$156.30 
Authentic VOOPOO Vinci Pod Kit - Aurora Red,https://www.cigabuy.com/authentic-voopoo-vinci-pod-kit-aurora-red-p-20718.html,$18.85,$21.37 
Authentic Geekvape Wenax K1 Pod Kit - Blue,https://www.cigabuy.com/authentic-geekvape-wenax-k1-pod-kit-blue-p-20595.html,$13.71,$25.11 
Authentic Wotofo Profile RDTA  - Blue,https://www.cigabuy.com/authentic-wotofo-profile-rdta-blue-p-19388.html,$23.96,$43.16 
2 x Authentic Geekvape Aegis Boost Pro Empty Pod,https://www.cigabuy.com/2-x-authentic-geekvape-aegis-boost-pro-empty-pod-p-20330.html,$5.20,$8.18 
Original Xiaomi Piston Dazzle Edition Earphones with Mic,https://www.cigabuy.com/original-xiaomi-piston-dazzle-edition-earphones-with-mic-p-19740.html,$0.79,$6.31 
